"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X2ndFlrSF","LowQualFinSF","GrLivArea","BedroomAbvGr","KitchenAbvGr","Functional","GarageFinish","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleCondition","SalePrice","have_Garage","Fireplaces_present","pool_present","FullBath_total","HalfBath_total"
11,20,"RL",70,11200,4,TRUE,"Inside",TRUE,"Sawyer","Norm","1Fam","1Story",5,5,1965,TRUE,"HdBoard","HdBoard","None",0,3,"CBlock",2,2,1,3,1,134,1040,5,0,0,1040,3,1,7,1,384,"Y",0,0,0,FALSE,"None",0,2,2008,TRUE,129500,TRUE,FALSE,FALSE,2,0
12,60,"RL",85,11924,3,TRUE,"Inside",TRUE,"NridgHt","Norm","1Fam","2Story",9,5,2006,TRUE,"WdShing","Wd Shng","Stone",286,3,"PConc",4,2,1,6,1,177,1175,5,1142,0,2324,4,1,7,3,736,"Y",147,21,0,FALSE,"None",0,7,2006,FALSE,345000,TRUE,TRUE,FALSE,4,0
13,20,"RL",75.0667743922708,12968,2,TRUE,"Inside",TRUE,"Sawyer","Norm","1Fam","1Story",5,6,1962,TRUE,"HdBoard","Plywood","None",0,3,"CBlock",2,2,1,5,1,175,912,3,0,0,912,2,1,7,1,352,"Y",140,0,0,FALSE,"None",0,9,2008,TRUE,144000,TRUE,FALSE,FALSE,2,0
14,20,"RL",91,10652,3,TRUE,"Inside",TRUE,"CollgCr","Norm","1Fam","1Story",7,5,2007,FALSE,"VinylSd","VinylSd","Stone",306,3,"PConc",3,2,3,1,1,1494,1494,5,0,0,1494,3,1,7,2,840,"Y",160,33,0,FALSE,"None",0,8,2007,FALSE,279500,TRUE,TRUE,FALSE,2,0
15,20,"RL",75.6671029821947,10920,3,TRUE,"Corner",TRUE,"NAmes","Norm","1Fam","1Story",6,5,1960,TRUE,"MetalSd","MetalSd","BrkFace",212,3,"CBlock",2,2,1,4,1,520,1253,3,0,0,1253,2,1,7,2,352,"Y",0,213,176,TRUE,"None",0,5,2008,TRUE,157000,TRUE,TRUE,FALSE,2,1
16,45,"RM",51,6120,4,TRUE,"Corner",TRUE,"BrkSide","Norm","1Fam","1.5Unf",7,8,2001,FALSE,"Wd Sdng","Wd Sdng","None",0,3,"Other",2,2,1,1,1,832,832,5,0,0,854,2,1,7,1,576,"Y",48,112,0,TRUE,"None",0,7,2007,TRUE,132000,TRUE,FALSE,FALSE,1,0
17,20,"RL",75.9839355873089,11241,3,TRUE,"Other",TRUE,"NAmes","Norm","1Fam","1Story",6,7,1970,FALSE,"Wd Sdng","Wd Sdng","BrkFace",180,3,"CBlock",2,2,1,5,1,426,1004,5,0,0,1004,2,1,7,3,480,"Y",0,0,0,FALSE,"Shed",700,3,2010,TRUE,149000,TRUE,TRUE,FALSE,2,0
18,90,"RL",72,10791,4,TRUE,"Inside",TRUE,"Sawyer","Norm","Duplex","1Story",4,5,1967,FALSE,"MetalSd","MetalSd","None",0,3,"Other",0,0,0,0,0,0,0,3,0,0,1296,2,2,7,1,516,"Y",0,0,0,FALSE,"Shed",500,10,2006,TRUE,90000,TRUE,FALSE,FALSE,2,0
19,20,"RL",66,13695,4,TRUE,"Inside",TRUE,"SawyerW","NR","1Fam","1Story",5,5,2004,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",2,2,1,6,1,468,1114,5,0,0,1114,3,1,7,1,576,"Y",0,102,0,FALSE,"None",0,6,2008,TRUE,159000,TRUE,FALSE,FALSE,2,1
20,20,"RL",70,7560,4,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",5,6,1965,TRUE,"BrkFace","Plywood","None",0,3,"CBlock",2,2,1,2,1,525,1029,3,0,0,1339,3,1,6,1,294,"Y",0,0,0,TRUE,"None",0,5,2009,FALSE,139000,TRUE,FALSE,FALSE,1,0
21,60,"RL",101,14215,3,TRUE,"Corner",TRUE,"NridgHt","Norm","1Fam","2Story",8,5,2006,FALSE,"VinylSd","VinylSd","BrkFace",380,3,"PConc",4,2,3,1,1,1158,1158,5,1218,0,2376,4,1,7,2,853,"Y",240,154,0,FALSE,"None",0,11,2006,FALSE,325300,TRUE,TRUE,FALSE,3,1
22,45,"RM",57,7449,4,FALSE,"Inside",TRUE,"IDOTRR","Norm","1Fam","1.5Unf",7,7,1950,FALSE,"Wd Sdng","Wd Sdng","None",0,3,"PConc",2,2,1,1,1,637,637,5,0,0,1108,3,1,7,1,280,"N",0,0,205,TRUE,"None",0,6,2007,TRUE,139400,TRUE,TRUE,FALSE,1,0
23,20,"RL",75,9742,4,TRUE,"Inside",TRUE,"CollgCr","Norm","1Fam","1Story",8,5,2002,TRUE,"VinylSd","VinylSd","BrkFace",281,3,"PConc",3,2,1,1,1,1777,1777,5,0,0,1795,3,1,7,2,534,"Y",171,159,0,FALSE,"None",0,9,2008,TRUE,230000,TRUE,TRUE,FALSE,2,0
24,120,"RM",44,4224,4,TRUE,"Inside",TRUE,"MeadowV","Norm","TwnhsE","1Story",5,7,1976,FALSE,"CemntBd","CmentBd","None",0,3,"PConc",3,2,1,6,1,200,1040,3,0,0,1060,3,1,7,1,572,"Y",100,110,0,FALSE,"None",0,6,2007,TRUE,129900,TRUE,TRUE,FALSE,2,0
25,20,"RL",73.0278182903714,8246,3,TRUE,"Inside",TRUE,"Sawyer","Norm","1Fam","1Story",5,8,2001,FALSE,"Plywood","Plywood","None",0,4,"CBlock",2,2,2,3,5,204,1060,5,0,0,1060,3,1,7,1,270,"Y",406,90,0,TRUE,"None",0,5,2010,TRUE,154000,TRUE,TRUE,FALSE,2,0
26,20,"RL",110,14230,4,TRUE,"Corner",TRUE,"NridgHt","Norm","1Fam","1Story",8,5,2007,FALSE,"VinylSd","VinylSd","Stone",640,3,"PConc",3,2,1,1,1,1566,1566,5,0,0,1600,3,1,7,2,890,"Y",0,56,0,FALSE,"None",0,7,2009,TRUE,256300,TRUE,TRUE,FALSE,2,0
27,20,"RL",60,7200,4,TRUE,"Corner",TRUE,"NAmes","Norm","1Fam","1Story",5,7,2000,FALSE,"Wd Sdng","Wd Sdng","None",0,3,"CBlock",2,2,2,4,3,180,900,3,0,0,900,3,1,7,1,576,"Y",222,32,0,FALSE,"None",0,5,2010,TRUE,134800,TRUE,FALSE,FALSE,1,1
28,20,"RL",98,11478,4,TRUE,"Inside",TRUE,"NridgHt","Norm","1Fam","1Story",8,5,2008,FALSE,"VinylSd","VinylSd","Stone",200,3,"PConc",4,2,1,6,1,486,1704,5,0,0,1704,3,1,7,2,772,"Y",0,50,0,FALSE,"None",0,5,2010,TRUE,306000,TRUE,TRUE,FALSE,3,0
29,20,"RL",47,16321,3,TRUE,"Other",TRUE,"NAmes","Norm","1Fam","1Story",5,6,1997,FALSE,"MetalSd","MetalSd","None",0,3,"CBlock",2,2,4,4,1,207,1484,3,0,0,1600,2,1,7,2,319,"Y",288,258,0,FALSE,"None",0,12,2006,TRUE,207500,TRUE,TRUE,FALSE,2,0
30,30,"RM",60,6324,3,TRUE,"Inside",TRUE,"BrkSide","Feedr","1Fam","1Story",4,6,1950,FALSE,"MetalSd","MetalSd","None",0,3,"Other",2,2,1,1,1,520,520,2,0,0,520,1,1,7,1,240,"Y",49,0,87,FALSE,"None",0,5,2008,TRUE,68500,TRUE,FALSE,FALSE,1,0
31,70,"C (all)",50,8500,4,TRUE,"Inside",TRUE,"IDOTRR","Feedr","1Fam","2Story",4,4,1950,TRUE,"BrkFace","BrkFace","None",0,2,"Other",2,2,1,1,1,649,649,3,668,0,1317,3,1,7,1,250,"N",0,54,172,TRUE,"None",0,7,2008,TRUE,40000,TRUE,FALSE,FALSE,1,0
32,20,"RL",73.321949493873,8544,3,TRUE,"Other",TRUE,"Sawyer","Norm","1Fam","1Story",5,6,2006,FALSE,"HdBoard","HdBoard","None",0,3,"CBlock",2,2,1,1,1,1228,1228,4,0,0,1228,3,1,7,1,271,"Y",0,65,0,TRUE,"None",0,6,2008,TRUE,149350,TRUE,FALSE,FALSE,1,1
33,20,"RL",85,11049,4,TRUE,"Corner",TRUE,"CollgCr","Norm","1Fam","1Story",8,5,2007,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",4,2,3,1,1,1234,1234,5,0,0,1234,3,1,7,2,484,"Y",0,30,0,FALSE,"None",0,1,2008,TRUE,179900,TRUE,FALSE,FALSE,2,0
34,20,"RL",70,10552,3,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",5,5,1959,TRUE,"BrkFace","BrkFace","None",0,3,"CBlock",2,2,1,3,1,380,1398,4,0,0,1700,4,1,7,2,447,"Y",0,38,0,FALSE,"None",0,4,2010,TRUE,165500,TRUE,TRUE,FALSE,1,2
35,120,"RL",60,7313,4,TRUE,"Inside",TRUE,"NridgHt","Norm","TwnhsE","1Story",9,5,2005,TRUE,"MetalSd","MetalSd","BrkFace",246,3,"PConc",4,2,1,6,1,408,1561,5,0,0,1561,2,1,7,3,556,"Y",203,47,0,FALSE,"None",0,8,2007,TRUE,277500,TRUE,TRUE,FALSE,3,0
36,60,"RL",108,13418,4,TRUE,"Inside",TRUE,"NridgHt","Norm","1Fam","2Story",8,5,2005,FALSE,"VinylSd","VinylSd","Stone",132,3,"PConc",4,2,3,1,1,1117,1117,5,1320,0,2452,4,1,7,3,691,"Y",113,32,0,FALSE,"None",0,9,2006,TRUE,309000,TRUE,TRUE,FALSE,3,1
37,20,"RL",112,10859,4,TRUE,"Corner",TRUE,"CollgCr","Norm","1Fam","1Story",5,5,1995,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",3,2,1,1,1,1097,1097,5,0,0,1097,3,1,7,1,672,"Y",392,64,0,FALSE,"None",0,6,2009,TRUE,145000,TRUE,FALSE,FALSE,1,1
38,20,"RL",74,8532,4,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",5,6,1990,TRUE,"Wd Sdng","Wd Sdng","BrkFace",650,3,"CBlock",2,2,1,3,1,84,1297,4,0,0,1297,3,1,7,3,498,"Y",0,0,0,FALSE,"None",0,10,2009,TRUE,153000,TRUE,TRUE,FALSE,1,1
39,20,"RL",68,7922,4,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",5,7,2007,FALSE,"VinylSd","VinylSd","None",0,4,"CBlock",2,2,1,6,1,326,1057,3,0,0,1057,3,1,7,1,246,"Y",0,52,0,FALSE,"None",0,1,2010,FALSE,109000,TRUE,FALSE,FALSE,2,0
40,90,"RL",65,6040,4,TRUE,"Inside",TRUE,"Edwards","Norm","Duplex","1Story",4,5,1955,FALSE,"AsbShng","Plywood","None",0,3,"PConc",0,0,0,0,0,0,0,3,0,0,1152,2,2,7,0,0,"N",0,0,0,FALSE,"None",0,6,2008,FALSE,82000,FALSE,FALSE,FALSE,2,0
41,20,"RL",84,8658,4,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",6,5,1965,FALSE,"Wd Sdng","Wd Sdng","BrkFace",101,3,"CBlock",2,2,1,3,1,445,1088,5,0,0,1324,3,1,7,2,440,"Y",0,138,0,TRUE,"None",0,12,2006,FALSE,160000,TRUE,TRUE,FALSE,2,0
42,20,"RL",115,16905,4,TRUE,"Inside",TRUE,"Timber","Norm","1Fam","1Story",5,6,1959,FALSE,"VinylSd","VinylSd","None",0,4,"CBlock",2,2,4,4,1,383,1350,4,0,0,1328,2,1,7,2,308,"P",0,104,0,FALSE,"None",0,7,2007,TRUE,170000,TRUE,TRUE,FALSE,1,2
43,80,"RL",73.9496925993328,9180,3,TRUE,"Other",TRUE,"SawyerW","Norm","1Fam","SFoyer",5,7,1983,FALSE,"HdBoard","HdBoard","None",0,3,"CBlock",3,2,3,5,2,0,840,4,0,0,884,2,1,7,2,504,"Y",240,0,0,TRUE,"None",0,12,2007,TRUE,144000,TRUE,FALSE,FALSE,2,0
44,20,"RL",73.9694329485611,9200,3,TRUE,"Other",TRUE,"CollgCr","Norm","1Fam","1Story",5,6,1980,TRUE,"VinylSd","VinylSd","None",0,3,"CBlock",3,2,3,2,4,167,938,3,0,0,938,3,1,7,1,308,"Y",145,0,0,TRUE,"None",0,7,2008,TRUE,130250,TRUE,FALSE,FALSE,2,0
45,20,"RL",70,7945,4,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",5,6,1959,FALSE,"BrkFace","Wd Sdng","None",0,3,"CBlock",2,2,1,5,4,465,1150,5,0,0,1150,3,1,7,2,300,"Y",0,0,0,FALSE,"None",0,5,2006,TRUE,141000,TRUE,FALSE,FALSE,2,0
46,120,"RL",61,7658,4,TRUE,"Inside",TRUE,"NridgHt","Norm","TwnhsE","1Story",9,5,2005,TRUE,"MetalSd","MetalSd","BrkFace",412,3,"PConc",4,2,1,6,1,1296,1752,5,0,0,1752,2,1,7,2,576,"Y",196,82,0,FALSE,"None",0,2,2010,TRUE,319900,TRUE,TRUE,FALSE,3,0
47,50,"RL",48,12822,3,TRUE,"Other",TRUE,"Mitchel","Norm","1Fam","1.5Fin",7,5,2003,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",4,2,1,6,1,83,1434,5,631,0,2149,1,1,7,2,670,"Y",168,43,0,FALSE,"None",0,8,2009,FALSE,239686,TRUE,TRUE,FALSE,2,1
48,20,"FV",84,11096,4,TRUE,"Inside",TRUE,"Somerst","Norm","1Fam","1Story",8,5,2006,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",3,2,3,6,1,1632,1656,5,0,0,1656,3,1,7,2,826,"Y",0,146,0,FALSE,"None",0,7,2007,TRUE,249700,TRUE,FALSE,FALSE,2,0
49,190,"RM",33,4456,4,TRUE,"Inside",TRUE,"OldTown","Norm","2fmCon","2Story",4,5,2008,FALSE,"MetalSd","MetalSd","None",0,3,"Other",2,2,1,1,1,736,736,4,716,0,1452,2,3,7,0,0,"N",0,0,102,FALSE,"None",0,6,2009,FALSE,113000,FALSE,FALSE,FALSE,2,0
50,20,"RL",66,7742,4,TRUE,"Inside",TRUE,"Sawyer","Norm","1Fam","1Story",5,7,1966,FALSE,"HdBoard","HdBoard","None",0,3,"CBlock",2,2,1,4,1,192,955,5,0,0,955,3,1,7,1,386,"Y",0,0,0,TRUE,"None",0,1,2007,TRUE,127000,TRUE,FALSE,FALSE,2,0
51,60,"RL",75.3263113815929,13869,2,TRUE,"Corner",TRUE,"Gilbert","Norm","1Fam","2Story",6,6,1997,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",3,2,3,6,1,612,794,4,676,0,1470,3,1,7,3,388,"Y",0,75,0,FALSE,"None",0,7,2007,TRUE,177000,TRUE,FALSE,FALSE,2,1
52,50,"RM",52,6240,4,TRUE,"Inside",TRUE,"BrkSide","Norm","1Fam","1.5Fin",6,6,1950,FALSE,"Wd Sdng","Wd Sdng","None",0,3,"PConc",2,2,1,1,1,816,816,3,0,360,1176,3,1,7,1,528,"Y",112,0,0,TRUE,"Shed",400,9,2006,TRUE,114500,TRUE,TRUE,FALSE,1,0
53,90,"RM",110,8472,2,FALSE,"Corner",FALSE,"IDOTRR","NR","Duplex","1Story",5,5,1963,FALSE,"Wd Sdng","Wd Sdng","None",0,3,"CBlock",3,2,4,2,6,0,816,3,0,0,816,2,1,7,1,516,"Y",106,0,0,FALSE,"None",0,5,2010,TRUE,110000,TRUE,FALSE,FALSE,2,0
54,20,"RL",68,50271,3,FALSE,"Inside",TRUE,"Veenker","Norm","1Fam","1Story",9,5,1987,FALSE,"WdShing","Wd Shng","None",0,3,"CBlock",4,2,4,6,1,32,1842,4,0,0,1842,0,1,7,3,894,"Y",857,72,0,FALSE,"None",0,11,2006,TRUE,385000,TRUE,TRUE,FALSE,2,1
55,80,"RL",60,7134,4,FALSE,"Inside",FALSE,"NAmes","Norm","1Fam","SLvl",5,5,1955,FALSE,"MetalSd","MetalSd","None",0,3,"CBlock",2,2,1,5,1,0,384,3,0,0,1360,3,1,6,1,572,"Y",0,50,0,TRUE,"None",0,2,2007,TRUE,130000,TRUE,TRUE,FALSE,1,0
56,20,"RL",100,10175,3,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",6,5,1964,FALSE,"HdBoard","Plywood","BrkFace",272,3,"CBlock",2,2,1,4,1,935,1425,4,0,0,1425,3,1,7,2,576,"Y",0,0,0,FALSE,"None",0,7,2008,TRUE,180500,TRUE,TRUE,FALSE,2,0
57,160,"FV",24,2645,4,TRUE,"Inside",TRUE,"Somerst","Norm","Twnhs","2Story",8,5,2000,FALSE,"MetalSd","MetalSd","BrkFace",456,3,"PConc",3,2,1,6,1,321,970,5,756,0,1739,3,1,7,3,480,"Y",115,0,0,FALSE,"None",0,8,2009,FALSE,172500,TRUE,FALSE,FALSE,3,1
58,60,"RL",89,11645,3,TRUE,"Corner",TRUE,"CollgCr","Norm","1Fam","2Story",7,5,2004,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",3,2,1,1,1,860,860,5,860,0,1720,3,1,7,2,565,"Y",0,70,0,FALSE,"None",0,8,2006,TRUE,196500,TRUE,FALSE,FALSE,2,1
59,60,"RL",66,13682,2,FALSE,"Other",TRUE,"StoneBr","Norm","1Fam","2Story",10,5,2006,TRUE,"VinylSd","VinylSd","BrkFace",1031,3,"PConc",4,2,4,1,1,1410,1410,5,1519,0,2945,3,1,7,3,641,"Y",192,0,37,FALSE,"None",0,10,2006,FALSE,438780,TRUE,TRUE,FALSE,3,1
60,20,"RL",60,7200,4,FALSE,"Inside",TRUE,"CollgCr","Norm","1Fam","1Story",5,7,1972,FALSE,"HdBoard","HdBoard","None",0,3,"CBlock",2,2,3,5,1,148,780,5,0,0,780,2,1,7,1,352,"Y",196,0,0,TRUE,"None",0,1,2008,TRUE,124900,TRUE,FALSE,FALSE,1,0
61,20,"RL",63,13072,4,TRUE,"Inside",TRUE,"SawyerW","NR","1Fam","1Story",6,5,2004,FALSE,"VinylSd","VinylSd","None",0,3,"PConc",3,2,1,5,1,217,1158,5,0,0,1158,3,1,7,1,576,"Y",0,50,0,FALSE,"None",0,5,2006,FALSE,158000,TRUE,FALSE,FALSE,2,1
62,75,"RM",60,7200,4,TRUE,"Inside",TRUE,"IDOTRR","Norm","1Fam","2.5Unf",5,7,1996,FALSE,"MetalSd","MetalSd","None",0,3,"Other",2,1,1,1,1,530,530,3,530,0,1111,3,1,7,1,288,"N",0,0,144,FALSE,"None",0,3,2007,TRUE,101000,TRUE,FALSE,FALSE,1,0
63,120,"RL",44,6442,3,TRUE,"Inside",TRUE,"NridgHt","Norm","TwnhsE","1Story",8,5,2006,FALSE,"VinylSd","VinylSd","Stone",178,3,"PConc",3,3,2,6,1,1346,1370,5,0,0,1370,2,1,7,2,484,"Y",120,49,0,FALSE,"None",0,10,2007,TRUE,202500,TRUE,TRUE,FALSE,2,0
64,70,"RM",50,10300,3,FALSE,"Inside",TRUE,"OldTown","NR","1Fam","2Story",7,6,1950,FALSE,"Stucco","Stucco","None",0,3,"Other",2,2,1,1,1,576,576,4,808,0,1710,3,1,7,1,480,"Y",12,11,64,TRUE,"None",0,4,2010,TRUE,140000,TRUE,FALSE,FALSE,2,0
65,60,"RL",69.2761036822631,9375,4,TRUE,"Inside",TRUE,"CollgCr","Norm","1Fam","2Story",7,5,1998,FALSE,"VinylSd","VinylSd","BrkFace",573,3,"PConc",3,2,1,6,1,318,1057,5,977,0,2034,3,1,7,2,645,"Y",576,36,0,TRUE,"None",0,2,2009,TRUE,219500,TRUE,FALSE,FALSE,3,1
66,60,"RL",76,9591,4,TRUE,"Inside",TRUE,"NridgHt","Norm","1Fam","2Story",8,5,2005,FALSE,"VinylSd","VinylSd","BrkFace",344,3,"PConc",4,2,3,1,1,1143,1143,5,1330,0,2473,4,1,7,2,852,"Y",192,151,0,FALSE,"None",0,10,2007,TRUE,317000,TRUE,TRUE,FALSE,2,1
67,20,"RL",113.613906129565,19900,4,TRUE,"Inside",TRUE,"NAmes","PosA","1Fam","1Story",7,5,1989,FALSE,"Plywood","Plywood","BrkFace",287,3,"CBlock",3,2,4,6,1,1035,1947,3,0,0,2207,3,1,6,2,576,"Y",301,0,0,FALSE,"None",0,7,2010,TRUE,180000,TRUE,TRUE,FALSE,3,0
68,20,"RL",72,10665,3,TRUE,"Inside",TRUE,"CollgCr","Norm","1Fam","1Story",7,5,2003,FALSE,"VinylSd","VinylSd","BrkFace",167,3,"PConc",3,2,3,6,1,440,1453,5,0,0,1479,3,1,7,2,558,"Y",144,29,0,FALSE,"None",0,6,2007,TRUE,226000,TRUE,FALSE,FALSE,3,0
69,30,"RM",47,4608,4,TRUE,"Corner",TRUE,"OldTown","Artery","1Fam","1Story",4,6,1950,FALSE,"MetalSd","MetalSd","None",0,4,"CBlock",2,2,1,1,1,747,747,3,0,0,747,2,1,7,1,220,"Y",0,0,0,FALSE,"None",0,6,2010,TRUE,80000,TRUE,FALSE,FALSE,1,0
70,50,"RL",81,15593,4,TRUE,"Corner",TRUE,"ClearCr","Norm","1Fam","1.5Fin",7,4,1953,FALSE,"BrkFace","AsbShng","None",0,3,"CBlock",2,2,1,4,1,701,1304,3,983,0,2287,3,1,7,3,667,"Y",0,21,114,FALSE,"None",0,7,2006,TRUE,225000,TRUE,TRUE,FALSE,2,0
71,20,"RL",95,13651,3,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",7,6,1973,FALSE,"Plywood","Plywood","BrkFace",1115,4,"CBlock",3,2,4,5,1,343,2223,5,0,0,2223,3,1,7,3,516,"Y",300,0,0,FALSE,"None",0,2,2007,TRUE,244000,TRUE,TRUE,FALSE,3,0
72,20,"RL",69,7599,4,TRUE,"Corner",TRUE,"Mitchel","Norm","1Fam","1Story",4,6,2006,FALSE,"HdBoard","Plywood","None",0,3,"CBlock",2,2,1,5,1,280,845,3,0,0,845,2,1,7,1,360,"Y",0,0,0,FALSE,"None",0,6,2007,TRUE,129500,TRUE,FALSE,FALSE,2,0
73,60,"RL",74,10141,3,TRUE,"Corner",TRUE,"Gilbert","Norm","1Fam","2Story",7,5,1998,FALSE,"VinylSd","VinylSd","BrkFace",40,3,"PConc",3,2,1,1,1,832,832,4,833,0,1718,3,1,7,3,427,"Y",0,94,0,FALSE,"None",0,12,2009,TRUE,185000,TRUE,TRUE,FALSE,2,1
74,20,"RL",85,10200,4,TRUE,"Inside",TRUE,"NAmes","Norm","1Fam","1Story",5,7,2003,FALSE,"Wd Sdng","Wd Sdng","BrkFace",104,3,"CBlock",2,2,1,5,4,404,1086,4,0,0,1086,3,1,7,1,490,"Y",0,0,0,TRUE,"None",0,5,2010,TRUE,144900,TRUE,FALSE,FALSE,2,0
75,50,"RM",60,5790,4,TRUE,"Corner",TRUE,"OldTown","Norm","1Fam","2Story",3,6,1950,TRUE,"VinylSd","VinylSd","None",0,4,"CBlock",1,2,1,1,1,840,840,4,765,0,1605,3,2,7,1,379,"Y",0,0,202,FALSE,"None",0,5,2010,TRUE,107400,TRUE,FALSE,FALSE,2,0
